,Unnamed: 0,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
699,741,pornhub.com,142.983198165894,39.5281314849854,291.0,19.7640657424927,2246.0,1348.0,670588.0,37.46.117.185,Sofia,Bulgaria,0,555,1510139,Other
713,756,adobe.com,313.331604003906,38.0780696868896,295.0,19.0390348434448,2431.0,1383.0,317327.0,37.46.117.185,Sofia,Bulgaria,0,226,305220,Other
718,761,vocabulary.com,87.7485275268555,38.3758544921875,571.0,19.1879272460938,2748.0,2147.0,44538.0,37.46.117.185,Sofia,Bulgaria,0,1236,4484178,Other
719,762,mcdonalds.com,296.117305755615,39.1511917114258,103.0,19.5755958557129,2342.0,1295.0,265420.0,37.46.117.185,Sofia,Bulgaria,0,1134,3134753,Other
724,768,xhamster.com,83.1854343414307,39.9899482727051,408.0,19.9949741363525,3260.0,1774.0,323005.0,37.46.117.185,Sofia,Bulgaria,0,1613,4499591,Other
738,784,wellsfargo.com,163.841009140015,38.2564067840576,77.0,19.1282033920288,1850.0,1121.0,131776.0,37.46.117.185,Sofia,Bulgaria,0,611,2369161,Other
743,789,nba.com,419.496059417725,38.7406349182129,434.0,19.3703174591064,3243.0,1348.0,484763.0,37.46.117.185,Sofia,Bulgaria,0,1890,7473630,Other
745,791,akc.org,194.244861602783,38.7670993804932,69.0,19.3835496902466,8105.0,507.0,601031.0,37.46.117.185,Sofia,Bulgaria,0,29036,48866928,Other
750,798,www2.hm.com,185.790538787842,38.2187366485596,242.0,19.1093683242798,2073.0,1562.0,817024.0,37.46.117.185,Sofia,Bulgaria,0,184,305220,Other
758,806,pinterest.com,222.203731536865,105.634927749634,345.0,52.8174638748169,1721.0,1715.0,259161.0,185.199.101.113,Montréal,Canada,0,335,36841,Social Media Sites
764,812,cambridge.org,326.867818832397,106.019020080566,327.0,53.0095100402832,2821.0,1544.0,286057.0,185.199.101.113,Montréal,Canada,0,1202,586586,Educational Websites
794,842,ytmp3.cc,1094.01059150696,105.380535125732,365.0,52.6902675628662,4227.0,2362.0,164266.0,185.199.101.113,Montréal,Canada,0,9766,12589059,Other
797,846,steampowered.com,403.633832931519,106.000661849976,112.0,53.0003309249878,3401.0,1821.0,512700.0,185.199.101.113,Montréal,Canada,0,1443,1510139,Other
805,854,flashscore.com,223.620653152466,105.919599533081,134.0,52.9597997665405,1980.0,1404.0,298162.0,185.199.101.113,Montréal,Canada,0,839,768113,Other
818,868,xhamster.com,219.670057296753,106.042146682739,609.0,53.0210733413696,4851.0,2661.0,324955.0,185.199.101.113,Montréal,Canada,0,3118,3589810,Other
858,912,cambridge.org,798.790454864502,266.320466995239,713.0,133.16023349762,7766.0,4462.0,285853.0,85.190.229.75,Santiago,Chile,0,3056,586586,Educational Websites
891,946,steampowered.com,560.283660888672,220.779895782471,223.0,110.389947891235,7543.0,3385.0,508759.0,85.190.229.75,Santiago,Chile,0,1983,1510139,Other
952,1012,cambridge.org,730.251550674439,178.707361221313,493.0,89.3536806106567,4910.0,2777.0,286057.0,185.216.73.70,Bogotá,Colombia,0,2106,586586,Educational Websites
