Unnamed: 0.1,Unnamed: 0,Website,Connection Establishment Time_x,RTT_x,Initial Response_x,Latency_x,Page Load Time_x,Dependency Load Time_x,Page Size_x,IP_x,City_x,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type_x,Connection Establishment Time_y,RTT_y,Initial Response_y,Latency_y,Page Load Time_y,Dependency Load Time_y,Page Size_y,IP_y,City_y,Website Type_y
382,406,pinterest.com,60.2593421936035,22.0475196838379,255.0,11.0237598419189,1039.0,1033.0,259687.0,185.245.254.159,Brussels,Belgium,0,367,657028,Social Media Sites,70.5435276031494,36.58127784729,227.0,18.290638923645,756.0,755.0,265054.0,185.245.254.80,Brussels,Social Media Sites
383,407,yelp.com,111.925601959229,35.15625,944.0,17.578125,7540.0,7314.0,132864.0,185.245.254.159,Brussels,Belgium,0,3877,305220,Other,66.889762878418,27.348518371582,941.0,13.674259185791,2527.0,2426.0,138145.0,185.245.254.80,Brussels,Other
388,412,cambridge.org,239.840984344482,68.2640075683594,205.0,34.1320037841797,4256.0,2529.0,286057.0,185.245.254.159,Brussels,Belgium,0,2338,586586,Educational Websites,118.031978607178,30.1826000213623,99.0,15.0913000106812,1983.0,1456.0,319512.0,185.245.254.80,Brussels,Educational Websites
393,417,espn.com,64.6026134490967,21.9175815582275,147.0,10.9587907791138,2555.0,2021.0,456572.0,185.245.254.159,Brussels,Belgium,0,756,2684502,Other,94.9897766113281,42.5248146057129,176.0,21.2624073028564,7246.0,3280.0,2164123.0,185.245.254.80,Brussels,Other
394,418,linkedin.com,94.2025184631348,22.8900909423828,391.0,11.4450454711914,926.0,604.0,145146.0,185.245.254.159,Brussels,Belgium,0,1132,6265668,Social Media Sites,120.871305465698,25.9506702423096,274.0,12.9753351211548,1213.0,538.0,133448.0,185.245.254.80,Brussels,Social Media Sites
399,423,gsmarena.com,81.4812183380127,22.8216648101807,56.0,11.4108324050903,1475.0,758.0,63380.0,185.245.254.159,Brussels,Belgium,0,370,1510139,Other,79.8230171203613,25.6943702697754,35.0,12.8471851348877,2263.0,762.0,71683.0,185.245.254.80,Brussels,Other
402,426,timeanddate.com,297.942876815796,22.836446762085,60.0,11.4182233810425,836.0,337.0,65769.0,185.245.254.159,Brussels,Belgium,0,389,1056096,Other,243.832349777222,26.691198348999,55.0,13.3455991744995,1436.0,367.0,69209.0,185.245.254.80,Brussels,Other
413,437,xvideos.com,120.066404342651,22.9003429412842,109.0,11.4501714706421,1256.0,787.0,134643.0,185.245.254.159,Brussels,Belgium,0,177,17522,Other,116.483926773071,27.1100997924805,106.0,13.5550498962402,1212.0,813.0,135235.0,185.245.254.80,Brussels,Other
420,445,tiktok.com,60.0576400756836,24.2667198181152,1722.0,12.1333599090576,3704.0,3164.0,585783.0,185.245.254.159,Brussels,Belgium,0,294,1049746,Other,78.8087844848633,26.9720554351807,1405.0,13.4860277175903,5136.0,3437.0,826325.0,185.245.254.80,Brussels,Other
429,454,flashscore.com,80.1365375518799,22.9251384735107,44.0,11.4625692367554,856.0,719.0,299367.0,185.245.254.159,Brussels,Belgium,0,828,2572526,Other,74.3205547332764,29.865026473999,43.0,14.9325132369995,1642.0,597.0,443558.0,185.245.254.80,Brussels,Other
