,Unnamed: 0,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
251,265,bloomberg.com,787.530183792114,208.571910858154,215.0,104.285955429077,5025.0,2374.0,13675.0,103.107.196.228,Perth,Australia,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Financial Websites
256,271,coinmarketcap.com,427.111148834229,210.227012634277,283.0,105.113506317139,9668.0,4024.0,423161.0,103.107.196.228,Perth,Australia,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Financial Websites
261,276,pexels.com,428.140640258789,209.340333938599,236.0,104.670166969299,7484.0,2817.0,260888.0,103.107.196.228,Perth,Australia,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
264,279,github.com,516.37864112854,208.938360214233,279.0,104.469180107117,4958.0,3568.0,234540.0,103.107.196.228,Perth,Australia,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
274,290,nintendo.com,1258.69560241699,210.78085899353,212.0,105.390429496765,4994.0,2661.0,758645.0,103.107.196.228,Perth,Australia,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Gaming Websites
293,311,yahoo.com,356.452703475952,65.0858879089356,90.0,32.5429439544678,1214.0,1155.0,44444.0,86.48.7.129,Vienna,Austria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
297,315,microsoft.com,253.368377685547,23.3368873596191,0.0,11.6684436798096,43.0,36.0,3448.0,86.48.7.129,Vienna,Austria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
298,316,walmart.com,93.2157039642334,24.0459442138672,122.0,12.0229721069336,5263.0,333.0,185539.0,86.48.7.129,Vienna,Austria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms
308,326,timeanddate.com,257.349252700806,25.0461101531982,53.0,12.5230550765991,1112.0,405.0,65680.0,86.48.7.129,Vienna,Austria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
315,333,healthline.com,57.365894317627,23.2386589050293,201.0,11.6193294525146,4152.0,618.0,313180.0,86.48.7.129,Vienna,Austria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Health and Medical Websites
330,349,nordstrom.com,83.3406448364258,26.2315273284912,203.0,13.1157636642456,453.0,452.0,213140.0,86.48.7.129,Vienna,Austria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms
334,353,roblox.com,305.13072013855,27.5850296020508,240.0,13.7925148010254,1409.0,1154.0,94221.0,86.48.7.129,Vienna,Austria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Gaming Websites
336,355,thepiratebay.org,86.5597724914551,23.7295627593994,906.0,11.8647813796997,2012.0,2006.0,4890.0,86.48.7.129,Vienna,Austria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
